SampleID	Diet_Classification	MouseStrain
SRS3574468	LFD	129S
SRS3574466	HFD	NOD
SRS3575037	LFD	AJ
SRS3574469	LFD	C57BL6
SRS3574471	LFD	C57BL6
SRS3574488	LFD	C57BL6
SRS3574644	LFD	AJ
SRS3574647	LFD	AJ
SRS3574573	LFD	129S
SRS3575105	LFD	AJ
SRS3574651	LFD	C57BL6
SRS3574655	HFD	NZOHI
SRS3574650	LFD	NZOHI
SRS3574652	HFD	C57BL6
SRS3575138	LFD	AJ
SRS3575135	LFD	NOD
SRS3574356	HFD	C57BL6
SRS3574357	LFD	129S
SRS3574354	LFD	129S
SRS3574355	HFD	NOD
SRS3574360	LFD	C57BL6
SRS3574361	LFD	NZOHI
SRS3574450	HFD	129S
SRS3574483	LFD	AJ
SRS3574473	HFD	C57BL6
SRS3574475	LFD	129S
SRS3575188	HFD	C57BL6
SRS3575189	LFD	NOD
SRS3575192	LFD	C57BL6
SRS3575191	LFD	NZOHI
SRS3575193	LFD	AJ
SRS3575187	LFD	C57BL6
SRS3575195	HFD	C57BL6
SRS3575198	HFD	C57BL6
SRS3575182	LFD	NZOHI
SRS3575181	LFD	NOD
SRS3574922	LFD	AJ
SRS3574925	HFD	129S
SRS3574924	LFD	C57BL6
SRS3574927	LFD	NZOHI
SRS3574919	LFD	NZOHI
SRS3574921	HFD	NZOHI
SRS3574920	LFD	C57BL6
SRS3574923	HFD	129S
SRS3574917	HFD	AJ
SRS3574915	LFD	129S
SRS3574532	LFD	129S
SRS3574531	LFD	AJ
SRS3574898	LFD	129S
SRS3574533	HFD	NZOHI
SRS3574529	LFD	129S
SRS3574527	LFD	AJ
SRS3574528	HFD	NZOHI
SRS3574530	LFD	129S
SRS3574523	LFD	NZOHI
SRS3574525	LFD	NZOHI
SRS3575237	LFD	AJ
SRS3575240	HFD	NZOHI
SRS3575233	LFD	129S
SRS3575236	LFD	129S
SRS3575235	LFD	AJ
SRS3575234	LFD	C57BL6
SRS3575231	LFD	AJ
SRS3575232	HFD	NZOHI
SRS3575229	HFD	C57BL6
SRS3575230	HFD	C57BL6
SRS3575059	LFD	NOD
SRS3575053	LFD	129S
SRS3575057	LFD	NOD
SRS3575050	LFD	NZOHI
SRS3575054	HFD	AJ
SRS3575056	LFD	C57BL6
SRS3575049	LFD	C57BL6
SRS3575051	HFD	Outbred
SRS3575062	HFD	Outbred
SRS3575064	HFD	Outbred
SRS3574808	HFD	Outbred
SRS3574809	HFD	Outbred
SRS3574806	HFD	Outbred
SRS3574810	HFD	Outbred
SRS3574811	HFD	Outbred
SRS3574812	HFD	Outbred
SRS3574814	HFD	Outbred
SRS3574800	HFD	Outbred
SRS3574801	HFD	Outbred
SRS3574888	HFD	Outbred
SRS3574887	HFD	Outbred
SRS3574889	HFD	Outbred
SRS3574890	HFD	Outbred
SRS3574893	HFD	Outbred
SRS3574891	HFD	Outbred
SRS3574895	HFD	Outbred
SRS3574892	HFD	Outbred
SRS3574886	HFD	Outbred
SRS3574882	HFD	Outbred
SRS3574619	HFD	Outbred
SRS3574618	LFD	Outbred
SRS3574614	LFD	Outbred
SRS3574617	LFD	Outbred
SRS3574621	LFD	Outbred
SRS3574620	LFD	Outbred
SRS3574622	LFD	Outbred
SRS3574623	LFD	Outbred
SRS3574616	LFD	Outbred
SRS3574612	LFD	Outbred
SRS3574953	LFD	Outbred
SRS3574955	HFD	Outbred
SRS3574954	LFD	Outbred
SRS3574957	LFD	Outbred
SRS3574956	LFD	Outbred
SRS3574959	LFD	Outbred
SRS3574960	LFD	Outbred
SRS3574967	LFD	Outbred
SRS3574952	LFD	Outbred
SRS3574951	LFD	Outbred
SRS3574725	LFD	Outbred
SRS3574991	LFD	Outbred
SRS3575227	HFD	Outbred
SRS3575228	LFD	Outbred
SRS3575224	LFD	Outbred
SRS3575226	LFD	Outbred
SRS3575225	LFD	Outbred
SRS3575222	LFD	Outbred
SRS3574748	HFD	Outbred
SRS3574743	HFD	Outbred
SRS3574399	HFD	Outbred
SRS3574400	HFD	Outbred
SRS3574395	HFD	Outbred
SRS3574398	HFD	Outbred
SRS3574396	HFD	Outbred
SRS3574397	HFD	Outbred
SRS3574392	HFD	Outbred
SRS3574394	HFD	Outbred
SRS3574391	HFD	Outbred
SRS3574393	HFD	Outbred
SRS3574690	LFD	Outbred
SRS3574688	LFD	Outbred
SRS3574692	LFD	Outbred
SRS3574691	LFD	Outbred
SRS3574684	HFD	Outbred
SRS3574689	LFD	Outbred
SRS3574687	LFD	Outbred
SRS3574686	LFD	Outbred
SRS3574683	LFD	Outbred
SRS3574681	LFD	Outbred
SRS3575047	LFD	Outbred
SRS3575048	LFD	Outbred
SRS3575045	LFD	Outbred
SRS3575052	LFD	Outbred
SRS3575042	LFD	Outbred
SRS3575044	HFD	Outbred
SRS3575043	LFD	Outbred
SRS3575046	LFD	Outbred
SRS3575041	LFD	Outbred
SRS3575039	LFD	Outbred
SRS3574349	LFD	Outbred
SRS3574348	LFD	Outbred
SRS3574347	LFD	Outbred
SRS3574346	LFD	Outbred
SRS3574353	LFD	Outbred
SRS3574352	LFD	Outbred
SRS3574351	HFD	Outbred
SRS3574350	LFD	Outbred
SRS3574365	HFD	Outbred
SRS3574345	HFD	Outbred
SRS3574549	HFD	Outbred
SRS3574522	HFD	Outbred
SRS3574520	HFD	Outbred
SRS3574388	HFD	Outbred
SRS3574524	HFD	Outbred
SRS3574526	HFD	Outbred
SRS3574389	HFD	Outbred
SRS3574390	HFD	Outbred
SRS3574401	HFD	Outbred
SRS3574402	HFD	Outbred
SRS3575040	HFD	Outbred
SRS3575036	HFD	Outbred
SRS3575038	HFD	Outbred
SRS3574802	HFD	Outbred
SRS3574807	HFD	Outbred
SRS3574805	HFD	Outbred
SRS3574804	HFD	Outbred
SRS3574843	HFD	Outbred
SRS3574427	HFD	Outbred
SRS3574605	HFD	Outbred
SRS3575180	HFD	Outbred
SRS3575179	LFD	Outbred
SRS3574462	LFD	Outbred
SRS3574847	LFD	Outbred
SRS3575183	LFD	Outbred
SRS3575184	LFD	Outbred
SRS3575185	LFD	Outbred
SRS3575186	LFD	Outbred
SRS3574485	HFD	Outbred
SRS3574489	LFD	Outbred
SRS3574484	LFD	Outbred
SRS3574482	LFD	Outbred
SRS3574481	LFD	Outbred
SRS3574479	LFD	Outbred
SRS3574495	LFD	Outbred
SRS3574480	LFD	Outbred
SRS3574478	LFD	Outbred
SRS3574477	LFD	Outbred
SRS3574476	LFD	Outbred
SRS3574474	HFD	Outbred
SRS3575010	LFD	Outbred
SRS3575009	LFD	Outbred
SRS3575007	LFD	Outbred
SRS3575006	LFD	Outbred
SRS3575005	LFD	Outbred
SRS3575004	HFD	Outbred
SRS3575003	HFD	Outbred
SRS3575002	HFD	Outbred
SRS3575001	HFD	Outbred
SRS3575000	HFD	Outbred
SRS3574746	HFD	Outbred
SRS3574750	LFD	Outbred
SRS3575154	HFD	Outbred
SRS3575150	LFD	Outbred
SRS3575104	LFD	Outbred
SRS3574567	HFD	Outbred
SRS3574702	LFD	Outbred
SRS3575272	HFD	Outbred
SRS3575273	LFD	Outbred
SRS3574498	HFD	Outbred
SRS3574501	LFD	Outbred
SRS3574630	HFD	Outbred
SRS3574636	LFD	Outbred
SRS3574906	HFD	Outbred
SRS3575144	LFD	Outbred
SRS3574440	HFD	Outbred
SRS3574439	LFD	Outbred
SRS3574997	HFD	Outbred
SRS3574492	LFD	Outbred
SRS3575275	HFD	Outbred
SRS3575274	LFD	Outbred
SRS3574993	HFD	Outbred
SRS3575026	LFD	Outbred
SRS3589069	LFD	Outbred
SRS3588894	HFD	Outbred
SRS3589076	LFD	Outbred
SRS3589357	HFD	Outbred
SRS3589358	LFD	Outbred
SRS3588785	HFD	Outbred
SRS3588786	LFD	Outbred
SRS3588969	HFD	Outbred
SRS3588967	LFD	Outbred
SRS3588617	HFD	Outbred
SRS3588616	LFD	Outbred
SRS3589333	HFD	Outbred
SRS3588990	LFD	Outbred
SRS3588709	HFD	Outbred
SRS3588703	LFD	Outbred
SRS3589502	HFD	Outbred
SRS3589271	LFD	Outbred
SRS3588846	HFD	Outbred
SRS3588849	LFD	Outbred
SRS3589420	HFD	Outbred
SRS3589421	LFD	Outbred
SRS3589151	HFD	Outbred
SRS3589153	LFD	Outbred
SRS3588915	HFD	Outbred
SRS3588913	LFD	Outbred
SRS3588937	HFD	Outbred
SRS3588934	LFD	Outbred
SRS3589220	HFD	Outbred
SRS3589474	LFD	Outbred
SRS3588759	HFD	Outbred
SRS3588771	LFD	Outbred
SRS3588815	HFD	Outbred
SRS3588818	LFD	Outbred
SRS3589380	HFD	Outbred
SRS3589382	LFD	Outbred
SRS3588648	HFD	Outbred
SRS3588649	LFD	Outbred
SRS3589493	HFD	Outbred
SRS3589450	LFD	Outbred
SRS3588611	HFD	Outbred
SRS3588609	LFD	Outbred
SRS3589066	HFD	Outbred
SRS3589064	LFD	Outbred
SRS3588632	HFD	Outbred
SRS3588636	LFD	Outbred
SRS3589234	HFD	Outbred
SRS3589235	LFD	Outbred
SRS3588663	HFD	Outbred
SRS3588660	LFD	Outbred
SRS3588883	HFD	Outbred
SRS3589112	LFD	Outbred
SRS3589543	HFD	Outbred
SRS3589545	LFD	Outbred
SRS3588953	HFD	Outbred
SRS3588954	LFD	Outbred
SRS3589243	HFD	Outbred
SRS3589247	LFD	Outbred
SRS3588673	HFD	Outbred
SRS3588672	LFD	Outbred
SRS3588831	HFD	Outbred
SRS3588826	LFD	Outbred
SRS3588802	HFD	Outbred
SRS3588799	LFD	Outbred
SRS3589098	HFD	Outbred
SRS3589097	LFD	Outbred
SRS3589210	HFD	Outbred
SRS3589179	LFD	Outbred
SRS3589510	HFD	Outbred
SRS3589511	LFD	Outbred
SRS3589366	HFD	Outbred
SRS3589365	LFD	Outbred
SRS3588929	HFD	Outbred
SRS3588928	LFD	Outbred
SRS3588963	HFD	Outbred
SRS3588962	LFD	Outbred
SRS3588680	HFD	Outbred
SRS3588677	LFD	Outbred
SRS3589435	HFD	Outbred
SRS3589437	LFD	Outbred
SRS3588707	HFD	Outbred
SRS3588710	LFD	Outbred
SRS3589288	HFD	Outbred
SRS3589285	LFD	Outbred
SRS3589524	HFD	Outbred
SRS3588870	LFD	Outbred
SRS3589178	HFD	Outbred
SRS3588989	LFD	Outbred
SRS3588725	HFD	Outbred
SRS3588728	LFD	Outbred
SRS3588817	HFD	Outbred
SRS3588968	LFD	Outbred
SRS3589554	HFD	Outbred
SRS3589301	LFD	Outbred
SRS3589015	HFD	Outbred
SRS3589012	LFD	Outbred
SRS448158	LFD	C57BL6
SRS448159	LFD	C57BL6
SRS448160	LFD	C57BL6
SRS448161	LFD	C57BL6
SRS448162	LFD	C57BL6
SRS448163	HFD	C57BL6
SRS448164	HFD	C57BL6
SRS448165	HFD	C57BL6
SRS448166	HFD	C57BL6
SRS642401	HFD	C57BL6
SRS642450	LFD	C57BL6
SRS642471	LFD	C57BL6
SRS642478	LFD	C57BL6
SRS642492	LFD	C57BL6
SRS643157	HFD	C57BL6
SRS643171	HFD	C57BL6
SRS643178	HFD	C57BL6
SRS643206	HFD	C57BL6
SRS643213	HFD	C57BL6
SRS643220	HFD	C57BL6
SRS643255	LFD	C57BL6
SRS643262	LFD	C57BL6
SRS643269	LFD	C57BL6
SRS643283	LFD	C57BL6
SRS643290	LFD	C57BL6
SRS642619	HFD	C57BL6
SRS642630	HFD	C57BL6
SRS642637	HFD	C57BL6
SRS642684	LFD	C57BL6
SRS642694	LFD	C57BL6
SRS642706	LFD	C57BL6
SRS642719	LFD	C57BL6
SRS642729	LFD	C57BL6
SRS642742	LFD	C57BL6
SRS3574556	LFD	NA
SRS3574968	HFD	NA
SRS3574914	LFD	NA
SRS3574460	HFD	NA
SRS3574970	LFD	NA
SRS3575071	HFD	NA
SRS3574930	HFD	NA
SRS3574631	LFD	NA
SRS3574677	LFD	NA
SRS3575015	HFD	NA
SRS3574671	LFD	NA
SRS3574359	HFD	NA
SRS3574823	LFD	NA
SRS3574358	HFD	NA
SRS3575091	LFD	NA
SRS3574788	LFD	NA
SRS3574537	HFD	NA
SRS3575243	HFD	NA
SRS3574682	LFD	NA
mgm4545424.3	HFD	C57BL6
mgm4545430.3	LFD	C57BL6
mgm4545437.3	HFD	C57BL6
mgm4545439.3	HFD	C57BL6
mgm4545441.3	LFD	C57BL6
mgm4545443.3	HFD	C57BL6
mgm4537490.3	LFD	C57BL6
mgm4537440.3	LFD	C57BL6
mgm4539801.3	HFD	C57BL6
mgm4539802.3	HFD	C57BL6
mgm4539918.3	HFD	C57BL6
mgm4535755.3	LFD	C57BL6
mgm4535927.3	LFD	C57BL6
mgm4535928.3	LFD	C57BL6
mgm4535747.3	HFD	C57BL6
mgm4535748.3	HFD	C57BL6
mgm4535749.3	HFD	C57BL6
SRS927413	LFD	Sprague-Dawley
SRS927414	LFD	Sprague-Dawley
SRS927415	LFD	Sprague-Dawley
SRS927419	HFD	Sprague-Dawley
SRS927423	HFD	Sprague-Dawley
SRS927422	HFD	Sprague-Dawley
ERS1122264	HFD	C57BL6
ERS1122265	HFD	C57BL6
ERS1122266	HFD	C57BL6
ERS1122278	HFD	C57BL6
ERS1122279	HFD	C57BL6
ERS1122280	HFD	C57BL6
ERS1122281	HFD	C57BL6
ERS1122285	HFD	C57BL6
ERS1122286	HFD	C57BL6
ERS1122287	HFD	C57BL6
ERS1122288	HFD	C57BL6
ERS1122289	HFD	C57BL6
ERS1122297	HFD	C57BL6
ERS1122298	HFD	C57BL6
ERS1122299	HFD	C57BL6
ERS1122300	HFD	C57BL6
ERS1122270	LFD	C57BL6
ERS1122271	LFD	C57BL6
ERS1122272	LFD	C57BL6
ERS1122276	LFD	C57BL6
ERS1122277	LFD	C57BL6
ERS1122282	LFD	C57BL6
ERS1122283	LFD	C57BL6
ERS1122284	LFD	C57BL6
ERS1122290	LFD	C57BL6
ERS1122291	LFD	C57BL6
ERS1122292	LFD	C57BL6
ERS1122293	LFD	C57BL6
ERS1122301	LFD	C57BL6
ERS1122302	LFD	C57BL6
ERS1122306	LFD	C57BL6
ERS1122307	LFD	C57BL6
SRS1890943	LFD	ICR
SRS1890944	HFD	ICR
SRS1890949	HFD	ICR
SRS1890951	HFD	ICR
SRS1890953	LFD	ICR
SRS1890957	LFD	ICR
ERS622307	LFD	C57BL6
ERS622308	LFD	C57BL6
ERS622309	LFD	C57BL6
ERS622313	HFD	C57BL6
